"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
11,http://bbs.cehome.com/thread-1150998-1-1.html,挖掘机专区,杂谈图库,【每周话题】你都挖出过啥稀奇古怪的东西？,甲友们天天打交道的土和石头里，经常藏有一些稀奇古怪的“宝贝”。小白我经常看见有甲友说，发财了，今儿挖到了XX年代的罐子！明儿又挖出一堆铜钱！就前两天！还有甲友发帖子说挖出个石碑！我就在纳闷...你们怎么老能挖出这些稀奇古怪的玩意...话题内容：各位甲友都来说说，你的挖机都挖出过什么宝贝？值钱的，囧的，雷人的，危险的....等等。你又是如何处理的呢？回复在本帖内！！话题时间：11.28-12.1话题奖励：从所有回复的楼层中，选出10位最精彩的回复。每人奖励“50铁甲币”！（严禁辱骂、灌水，复制内容不记入名单）,铁甲小白,2017-11-28,生活杂谈,【 每周 话题 】 你 都 挖 出过 啥 稀奇古怪 的 东西 ？ 甲 友 们 天天 打交道 的 土 和 石 头里 ， 经常 藏有 一些 稀奇古怪 的 “ 宝贝 ” 。 小白 我 经常 看见 有 甲 友 说 ， 发财 了 ， 今儿 挖 到了 XX 年代 的 罐子 ！ 明儿 又 挖出 一堆 铜钱 ！ 就 前两天 ！ 还有 甲 友 发帖子 说 挖 出个 石碑 ！ 我 就在 纳闷 ... 你们 怎么 老 能 挖出 这些 稀奇古怪 的 玩意 ... 话题 内容 ： 各位 甲 友 都来 说说 ， 你 的 挖机 都 挖 出过 什么 宝贝 ？ 值钱 的 ， 囧 的 ， 雷 人 的 ， 危险 的 .... 等等 。 你 又是 如何 处理 的 呢 ？ 回复 在 本帖 内 ！ ！ 话题 时间 ： 11.28-12.1 话题 奖励 ： 从 所有 回复 的 楼层 中 ， 选出 10 位 最 精彩 的 回复 。 每人 奖励 “ 50 铁甲 币 ” ！ （ 严禁 辱骂 、 灌水 ， 复制 内容 不 记入 名单 ）
12,http://bbs.cehome.com/thread-1150994-1-1.html,挖掘机专区,我爱我挖,农村一样套路深,,我爱把把,2017-11-28,,农村 一样 套路 深 
13,http://bbs.cehome.com/thread-1150992-1-1.html,挖掘机专区,我爱我挖,车标到了,,小斗修地球,2017-11-28,,车标 到了 
14,http://bbs.cehome.com/thread-1150990-1-1.html,互通有无,招聘求职,找挖机师傅两名,拉萨找2字头挖机两名，外地的可报销来回机票，有意电话联系，黄，15881831933,有何不可~,2017-11-28,西藏,找 挖机 师傅 两名 拉萨 找 2 字头 挖机 两名 ， 外地 的 可 报销 来回 机票 ， 有意 电话 联系 ， 黄 ， 15881831933
15,http://bbs.cehome.com/thread-1150987-1-1.html,挖掘机专区,选购询价,按揭车能卖吗,16年买的新车，柳工906d，买回来活不多，每个月打贷款，贷款还有一年，能不能卖，能卖多少钱,15552836000,2017-11-28,机型对比,按揭 车 能 卖 吗 16 年 买 的 新车 ， 柳 工 906d ， 买回来 活 不多 ， 每个月 打 贷款 ， 贷款 还有 一年 ， 能不能 卖 ， 能 卖 多少钱
16,http://bbs.cehome.com/thread-1150986-1-1.html,挖掘机专区,我爱我挖,出事故了，堵车，什么时候到工地啊（干活的命，雨天照样 ...,,不搞挖机了,2017-11-28,,出 事故 了 ， 堵车 ， 什么时候 到 工地 啊 （ 干活 的 命 ， 雨天 照样  ... 
17,http://bbs.cehome.com/thread-1150981-1-1.html,挖掘机专区,我爱我挖,车贴已到，谢谢铁甲,车贴已到，谢谢铁甲，以前一直没贴车上，今天终于贴了两张在车上，车脏勿喷，这段时间一直在挖稀泥,开挖机的XMG,2017-11-28,,车 贴 已到 ， 谢谢 铁甲 车 贴 已到 ， 谢谢 铁甲 ， 以前 一直 没 贴 车上 ， 今天 终于 贴了 两 张在 车上 ， 车 脏 勿 喷 ， 这段 时间 一直在 挖 稀泥
18,http://bbs.cehome.com/thread-1150977-1-1.html,挖掘机专区,我爱我挖,每次都一样,,小鹏童学,2017-11-28,,每次 都 一样 
19,http://bbs.cehome.com/thread-1150976-1-1.html,挖掘机专区,我爱我挖,无聊,不好做呀！,mmmkuu,2017-11-28,,无聊 不 好做 呀 ！
20,http://bbs.cehome.com/thread-1150971-1-1.html,互通有无,招聘求职,招驾驶员,浙江宁波北仑招三年以上驾龄的拉森打桩驾驶员，电话13806634303,gjb,2017-11-28,浙江,招 驾驶员 浙江 宁波 北 仑 招 三年 以上 驾 龄 的 拉森 打桩 驾驶员 ， 电话 13806634303
21,http://bbs.cehome.com/thread-1150967-1-1.html,挖掘机专区,选购询价,斗山DX380-9c,最近入手一台36吨级别的车，心中卡特336是首选，但是很不喜欢卡特c9发动机。看了斗山380，液压泵是力士乐的，可问题又来了，竟然是5缸机。斯堪尼亚的，甲油们有用过5缸机吗？用着怎么样？以后卖机会不会有人接受？三缸南骏我倒是开过，那抖动的酸爽。下面上图，请大家共同参考参考～,电喷任性,2017-11-28,30吨以上,斗山 DX380-9c 最近 入手 一台 36 吨 级 别的 车 ， 心中 卡特 336 是 首选 ， 但是 很 不喜欢 卡特 c9 发动机 。 看了 斗山 380 ， 液压泵 是 力士乐 的 ， 可 问题 又 来了 ， 竟然是 5 缸 机 。 斯 堪 尼亚 的 ， 甲 油 们 有 用过 5 缸 机 吗 ？ 用着 怎么样 ？ 以后 卖 机 会不会 有人 接受 ？ 三缸 南 骏 我 倒是 开过 ， 那 抖动 的 酸 爽 。 下面 上图 ， 请 大家 共同 参考 参考 ～
22,http://bbs.cehome.com/thread-1150964-1-1.html,我与工程机械,故障咨询,缸盖漏水,这个用补漏剂可以堵住不？谢谢！！！,15932291960,2017-11-28,漏水,缸盖 漏水 这个 用 补漏 剂 可以 堵住 不 ？ 谢谢 ！ ！ ！
23,http://bbs.cehome.com/thread-1150962-1-1.html,铁甲娱乐,轻松一刻,早,,余生没着落,2017-11-28,,早 
24,http://bbs.cehome.com/thread-1150958-1-1.html,挖掘机专区,我爱我挖,太阳出来了,甲友你们那儿有这么大的太阳吗，山清水秀，蓝天白云。羡慕吧，哈哈,σ怼铁臂柔情,2017-11-28,,太阳 出 来了 甲 友 你们 那儿 有 这么 大 的 太阳 吗 ， 山清水秀 ， 蓝天白云 。 羡慕 吧 ， 哈哈
25,http://bbs.cehome.com/thread-1150949-1-1.html,,,,,,,, 
26,http://bbs.cehome.com/thread-1150947-1-1.html,挖掘机专区,我爱我挖,这小子心眼真多，扣不动，不扣了，给我留下咯。,,Mr . Gao,2017-11-28,,这小子 心眼 真多 ， 扣 不动 ， 不 扣了 ， 给我 留下 咯 。 
27,http://bbs.cehome.com/thread-1150946-1-1.html,挖掘机专区,我爱我挖,我们一般不惹事，下一句是？,铁甲日记第14天,铲斗人生,2017-11-28,,我们 一般 不 惹事 ， 下 一句 是 ？ 铁甲 日记 第 14 天
28,http://bbs.cehome.com/thread-1150943-1-1.html,挖掘机专区,我爱我挖,斗山150 装100的破碎锤,破碎25厘米左右混凝土地面，1350转左右工作，转速高吗？？,15864965780,2017-11-28,,斗山 150  装 100 的 破碎 锤 破碎 25 厘米 左右 混凝土地面 ， 1350 转 左右 工作 ， 转速 高 吗 ？ ？
29,http://bbs.cehome.com/thread-1150942-1-1.html,挖掘机专区,我爱我挖,我爱我挖,工地随拍,残城ω碎梦,2017-11-28,,我 爱我 挖 工地 随 拍
30,http://bbs.cehome.com/thread-1150937-1-1.html,挖掘机专区,我爱我挖,铁甲这次还挺快的嘛,,强哥！,2017-11-28,,铁甲 这次 还 挺快 的 嘛 
31,http://bbs.cehome.com/thread-1150935-1-1.html,挖掘机专区,我爱我挖,打炮,一脑壳的浆糊，下雨还打炮,这位仁兄的玉柴85－8,2017-11-28,,打炮 一 脑壳 的 浆糊 ， 下雨 还 打炮
32,http://bbs.cehome.com/thread-1150934-1-1.html,挖掘机专区,我爱我挖,问个问题,加机油的地方  盖子螺纹烂了点  掉了些盖子上面的塑料进去有事么？,褶子,2017-11-28,,问个问题 加 机油 的 地方    盖子 螺纹 烂 了点    掉了 些 盖子 上 面的 塑料 进去 有事 么 ？
33,http://bbs.cehome.com/thread-1150933-1-1.html,挖掘机专区,我爱我挖,一起来 就现在 换班啦,美女司机来接班了,皖K小钢炮,2017-11-28,,一 起来   就 现在   换班 啦 美 女司机 来 接班 了
34,http://bbs.cehome.com/thread-1150928-1-1.html,我与工程机械,故障咨询,日立250-3分配器漏油,日立250电喷机的分配器上这两处漏油，挖机在工地干活找修理师傅不方便。这两处漏油的由8个的内六角螺丝固定的不知道叫什么阀，总之不太懂里面的内部构造，自己动手换O型圈可以吗？请高手指点……,曾经英雄,2017-11-28,,日立 250-3 分配器 漏油 日立 250 电喷 机 的 分配器 上 这 两 处 漏油 ， 挖机 在 工地 干活 找 修理 师傅 不方便 。 这 两 处 漏油 的 由 8 个 的 内六角 螺丝 固定 的 不知道 叫什么 阀 ， 总之 不太 懂 里 面的 内部 构造 ， 自己 动手 换 O 型 圈 可以吗 ？ 请 高手 指点 … …
35,http://bbs.cehome.com/thread-1150924-1-1.html,挖掘机专区,我爱我挖,下雨啦,,秦小挖,2017-11-28,,下雨 啦 
36,http://bbs.cehome.com/thread-1150923-1-1.html,挖掘机专区,杂谈图库,经典车型大黄蜂,看到这款车说说你们的想法,绅士丿,2017-11-28,,经典 车型 大黄蜂 看到 这款 车 说说 你们 的 想法
37,http://bbs.cehome.com/thread-1150921-1-1.html,我与工程机械,故障咨询,卡特315D求助！,机子干着活油门变小好像油不够吃似得机子很吃力。喷油嘴有两个泄压也拿去给搞油泵的修了，现在机子还是这样，干着活机子油门突然变小好像油路堵塞了一样松开手柄油门就正常了。,13324801324,2017-11-28,,卡特 315D 求助 ！ 机子 干 着 活 油门 变小 好像 油 不 够吃 似 得 机子 很 吃力 。 喷油嘴 有 两个 泄 压 也 拿去 给 搞 油泵 的 修 了 ， 现在 机子 还是 这样 ， 干 着 活 机子 油门 突然 变小 好像 油路 堵塞 了 一样 松开 手柄 油门 就 正常 了 。
38,http://bbs.cehome.com/thread-1150917-1-1.html,挖掘机专区,我爱我挖,能换换吧,玩铁甲APP好几个月了为什么每次抽奖都一样天冷了换个帽子避避寒白,临沂沂水挖哥庞,2017-11-28,,能 换换 吧 玩 铁甲 APP 好几个 月了 为什么 每次 抽奖 都 一样 天冷 了 换个 帽子 避 避寒 白
39,http://bbs.cehome.com/thread-1150912-1-1.html,挖掘机专区,我爱我挖,开工,省略一万字、、、、、、、,东锅,2017-11-28,,开工 省略 一 万字 、 、 、 、 、 、 、
40,http://bbs.cehome.com/thread-1150909-1-1.html,挖掘机专区,我爱我挖,车贴到咯,感谢铁甲送的车贴，  贴上了就是帅气,桃源挖机,2017-11-28,,车 贴到 咯 感谢 铁甲 送 的 车 贴 ，    贴 上了 就是 帅气
41,http://bbs.cehome.com/thread-1150908-1-1.html,挖掘机专区,我爱我挖,今天跟了个新师傅还没见到人不知道会怎样,紧张,大龄小机手,2017-11-28,,今天 跟了 个 新 师傅 还没 见到 人 不知道 会 怎样 紧张
42,http://bbs.cehome.com/thread-1150906-1-1.html,挖掘机专区,我爱我挖,早上好甲友们！,,泽屹,2017-11-28,,早上好 甲 友 们 ！ 
43,http://bbs.cehome.com/thread-1150903-1-1.html,,,,,,,, 
44,http://bbs.cehome.com/thread-1150902-1-1.html,我与工程机械,推土机,一个月时间，刚反新完工的D10R,,寻找我的挖掘机,2017-11-28,杂谈,一个月 时间 ， 刚 反 新 完工 的 D10R 
45,http://bbs.cehome.com/thread-1150899-1-1.html,,,,,,,, 
46,http://bbs.cehome.com/thread-1150898-1-1.html,挖掘机专区,我爱我挖,早上好,起床搬砖了,铁甲玖玖,2017-11-28,,早上好 起床 搬 砖 了
47,http://bbs.cehome.com/thread-1150892-1-1.html,挖掘机专区,我爱我挖,早,,微信用户_HZhvBB,2017-11-28,,早 
48,http://bbs.cehome.com/thread-1150890-1-1.html,挖掘机专区,我爱我挖,下雨了,晴两天下三天,挖机小弟一魅,2017-11-28,,下雨 了 晴 两 天下 三 天
49,http://bbs.cehome.com/thread-1150886-1-1.html,挖掘机专区,我爱我挖,上海神钢210没活干了，,甲友们，有用挖机的留个电话,手机用户cipz035,2017-11-28,,上海 神钢 210 没 活 干了 ， 甲 友 们 ， 有用 挖机 的 留个 电话
50,http://bbs.cehome.com/thread-1150885-1-1.html,挖掘机专区,我爱我挖,厉害了厉害( _),小手都断了,天边的眷恋,2017-11-28,,厉 害了 厉害 ( _) 小手 都 断了
51,http://bbs.cehome.com/thread-1150883-1-1.html,挖掘机专区,我爱我挖,下班吧。,,弹指一挥间,2017-11-28,,下班 吧 。 
52,http://bbs.cehome.com/thread-1150882-1-1.html,挖掘机专区,我爱我挖,各位甲友卡特70B右边行走,各位甲友卡特70B右边行车后退有时候停住做一会工在去的时候有时行走会卡住要往前走一点然后在后退就不卡了大家说是什么问题呢,13822668343,2017-11-28,,各位 甲 友 卡特 70B 右边 行走 各位 甲 友 卡特 70B 右边 行车 后退 有时候 停住 做 一会 工 在 去 的 时候 有时 行走 会 卡住 要 往前走 一点 然后 在 后退 就不 卡 了 大家 说是 什么问题 呢
53,http://bbs.cehome.com/thread-1150881-1-1.html,我与工程机械,装载机,还是山工有劲铲的多,,春夏秋冬.唯我山工,2017-11-28,,还是 山 工 有劲 铲 的 多 
54,http://bbs.cehome.com/thread-1150879-1-1.html,挖掘机专区,我爱我挖,神刚200-5电路,这个是什么问题？有没有人遇到过解决了的。,挖开富贵,2017-11-28,,神 刚 200-5 电路 这个 是 什么问题 ？ 有 没有人 遇到过 解决 了 的 。
55,http://bbs.cehome.com/thread-1150875-1-1.html,挖掘机专区,我爱我挖,无语,一天的工作开始了！,河南挖友张杰,2017-11-28,,无语 一天 的 工作 开始 了 ！
56,http://bbs.cehome.com/thread-1150874-1-1.html,挖掘机专区,我爱我挖,早上好,各位辛苦了,吉野,2017-11-28,,早上好 各位 辛 苦了
57,http://bbs.cehome.com/thread-1150869-1-1.html,挖掘机专区,我爱我挖,爬了十五分钟来,这班上的宝宝心里那个苦啊  爬山爬了十五分钟,临沂沂水挖哥庞,2017-11-28,,爬 了 十五 分钟 来 这 班上 的 宝宝 心里 那个 苦 啊    爬山 爬 了 十五 分钟
58,http://bbs.cehome.com/thread-1150867-1-1.html,挖掘机专区,我爱我挖,灯火夜未央，来往的人多匆忙,对你爱爱爱不完，我也可以天天年年到永远,北海路 比伯,2017-11-28,,灯火 夜未央 ， 来往 的 人多 匆忙 对 你 爱 爱 爱 不完 ， 我 也 可以 天天 年年 到 永远
59,http://bbs.cehome.com/thread-1150866-1-1.html,铁甲娱乐,轻松一刻,会讲话啊！,前几天发的帖子居然让删了。。然后。。就发出了所谓的辟谣。。真是够够的了。老百姓老伤心吧,手机用户bfkvwx4,2017-11-28,,会 讲话 啊 ！ 前几天 发 的 帖子 居然 让 删了 。 。 然后 。 。 就 发 出了 所谓 的 辟谣 。 。 真是 够 够 的 了 。 老百姓 老 伤心 吧
60,http://bbs.cehome.com/thread-1150863-1-1.html,挖掘机专区,我爱我挖,甲友们徐工150你们一小时装几车土？,后八轮  最多五个油门  反土  我装了五到六别是不是慢啊,褶子,2017-11-28,,甲 友 们 徐 工 150 你们 一小 时装 几车 土 ？ 后 八 轮    最多 五 个 油门    反 土    我 装了 五 到 六 别 是不是 慢 啊
61,http://bbs.cehome.com/thread-1150861-1-1.html,挖掘机专区,我爱我挖,阀,斗山215的拆车主阀,昆,2017-11-28,,阀 斗山 215 的 拆 车主 阀
62,http://bbs.cehome.com/thread-1150860-1-1.html,挖掘机专区,我爱我挖,个头不小,,手机用户desu358,2017-11-28,,个头 不小 
63,http://bbs.cehome.com/thread-1150858-1-1.html,挖掘机专区,杂谈图库,【一起来 就现在】这质量怎么样！,,铁甲小隆,2017-11-28,,【 一 起来   就 现在 】 这 质量 怎么样 ！ 
64,http://bbs.cehome.com/thread-1150856-1-1.html,我与工程机械,装载机,柳工836,1700小时太经典的小车，一直煤场冬天装煤,变形金刚钻,2017-11-28,,柳 工 836 1700 小时 太 经典 的 小车 ， 一直 煤场 冬天 装 煤
65,http://bbs.cehome.com/thread-1150851-1-1.html,挖掘机专区,我爱我挖,早,7点天蒙蒙亮,美化地球,2017-11-28,,早 7 点 天 蒙蒙亮
66,http://bbs.cehome.com/thread-1150849-1-1.html,挖掘机专区,我爱我挖,干活。,天天工资不够烧油抽烟吃饭的,逸依,2017-11-28,,干活 。 天天 工资 不够 烧油 抽烟 吃饭 的
67,http://bbs.cehome.com/thread-1150847-1-1.html,挖掘机专区,我爱我挖,【一起来 就现在】黑龙江第一台，最新款卡特彼勒！,最新款卡特彼勒！敬请观看！,铁甲小隆,2017-11-28,使用报告,【 一 起来   就 现在 】 黑龙江 第一台 ， 最新款 卡特 彼 勒 ！ 最新款 卡特 彼 勒 ！ 敬请 观看 ！
68,http://bbs.cehome.com/thread-1150844-1-1.html,铁甲娱乐,轻松一刻,签到,终于下雨了，哈哈哈哈我得继续睡老铁们,她命,2017-11-28,,签到 终于 下雨 了 ， 哈哈哈哈 我 得 继续 睡 老 铁 们
69,http://bbs.cehome.com/thread-1150841-1-1.html,挖掘机专区,我爱我挖,求大神看一下是什么问题。。。急..,我挖机空调打开暖风，为什么后面出风口吹出来的是热风，前面出风口吹出来的是冷风啊？？,手机用户E9mEr0q,2017-11-28,,求 大神 看一下 是 什么问题 。 。 。 急 .. 我 挖机 空调 打开 暖风 ， 为什么 后面 出风口 吹出来 的 是 热风 ， 前面 出风口 吹出来 的 是 冷风 啊 ？ ？
70,http://bbs.cehome.com/thread-1150840-1-1.html,互通有无,招聘求职,找个会刷坡的挖机驾驶员,工资直接打电话谈，13024329966,波大了不起？,2017-11-28,江苏,找个 会 刷 坡 的 挖机 驾驶员 工资 直接 打电话 谈 ， 13024329966
71,http://bbs.cehome.com/thread-1150835-1-1.html,挖掘机专区,我爱我挖,天南地北小松最美,,浪子（铁臂联盟）,2017-11-28,,天南地北 小松 最美 
72,http://bbs.cehome.com/thread-1150834-1-1.html,挖掘机专区,我爱我挖,挖机手,我临工60的挖机，有时候好难发动，发动后有时候所有功能又没用，问下这是那的事，有知道临工售后电话的吗,手机用户ahknux6,2017-11-28,,挖 机手 我 临 工 60 的 挖机 ， 有时候 好难 发动 ， 发动 后 有时候 所有 功能 又 没用 ， 问下 这是 那 的 事 ， 有 知道 临 工 售后 电话 的 吗
73,http://bbs.cehome.com/thread-1150833-1-1.html,挖掘机专区,我爱我挖,我的车贴呢,什么时候刘吕梁市方山县13653400674,铁甲sY,2017-11-28,,我 的 车 贴 呢 什么时候 刘 吕梁市 方山县 13653400674
74,http://bbs.cehome.com/thread-1150828-1-1.html,铁甲娱乐,轻松一刻,游轮,,铁甲挖哥,2017-11-28,,游轮 
75,http://bbs.cehome.com/thread-1150827-1-1.html,挖掘机专区,我爱我挖,起床了,真不愿起呀！,不漂泊,2017-11-28,,起床 了 真 不愿 起 呀 ！
76,http://bbs.cehome.com/thread-1150823-1-1.html,挖掘机专区,我爱我挖,提车了临工665F,二手机看了半个月没有合适的，新机看了三一，柳工，徐工，临工，小松56，最后选择了临工665F感觉这车真不错。三一60-55说实话开着真不咋滴，徐工就那样不多说，柳工906新款液压泵速度挺快的就是发动机有点憋车。小松56我这人急性子开不得有点慢哈哈。不多说了上图看看吧。,baiguo5210151,2017-11-28,,提 车 了 临 工 665F 二 手机 看了 半个月 没有 合适 的 ， 新机 看了 三一 ， 柳 工 ， 徐 工 ， 临 工 ， 小松 56 ， 最后 选择 了 临 工 665F 感觉 这车 真不错 。 三一 60-55 说实话 开着 真不 咋 滴 ， 徐 工 就 那样 不 多说 ， 柳 工 906 新款 液压泵 速度 挺快 的 就是 发动机 有点 憋 车 。 小松 56 我 这人 急性子 开 不得 有点 慢 哈哈 。 不多 说了 上图 看 看吧 。
77,http://bbs.cehome.com/thread-1150822-1-1.html,挖掘机专区,我爱我挖,新手,大师你们挖山的时候该怎么找平衡点我挖不平老是挖低了,手机用户0Npj2kf,2017-11-28,,新手 大师 你们 挖山 的 时候 该 怎么 找 平衡 点我 挖 不平 老是 挖 低了
78,http://bbs.cehome.com/thread-1150812-1-1.html,挖掘机专区,我爱我挖,挖机出厂年限,石川岛55N_3大概是那一年出厂的？,手机用户flopy79,2017-11-28,,挖机 出厂 年限 石 川 岛 55N_3 大概是 那一年 出厂 的 ？
79,http://bbs.cehome.com/thread-1150810-1-1.html,挖掘机专区,我爱我挖,天都没亮,,幸福在身旁,2017-11-28,,天 都 没亮 
80,http://bbs.cehome.com/thread-1150807-1-1.html,铁甲娱乐,轻松一刻,分享日记第192天,铁甲管理员在吗，我怎么还没有收到，有朋友已经收到了。,yanjunheng,2017-11-28,,分享 日记 第 192 天 铁甲 管理员 在吗 ， 我 怎么 还没有 收到 ， 有 朋友 已经 收 到了 。
81,http://bbs.cehome.com/thread-1150806-1-1.html,我与工程机械,装载机,这个车怎么样,,春夏秋冬.唯我山工,2017-11-28,,这个 车 怎么样 
82,http://bbs.cehome.com/thread-1150805-1-1.html,挖掘机专区,我爱我挖,【一起来 就现在】开车技术不行，可以硬来,前面几辆车过去了，后面的几辆也无事的过去了。就这辆特殊,小林哥,2017-11-28,,【 一 起来   就 现在 】 开车 技术 不行 ， 可以 硬来 前面 几辆车 过去了 ， 后 面的 几辆 也 无事 的 过去了 。 就 这辆 特殊
83,http://bbs.cehome.com/thread-1150801-1-1.html,挖掘机专区,杂谈图库,穿了卡特的马甲的奇瑞重工,出口到英国康沃尔的奇瑞迪凯DE220BLC，居然还穿了卡特的马甲。,诛心,2017-11-28,美图转发,穿 了 卡特 的 马甲 的 奇瑞 重工 出 口到 英国 康沃尔 的 奇瑞 迪 凯 DE220BLC ， 居然 还穿 了 卡特 的 马甲 。
84,http://bbs.cehome.com/thread-1150799-1-1.html,挖掘机专区,我爱我挖,车标领取,感谢铁甲小白，车标已收到，大家看下我的车标怎么样，还不错吧，你们领取了没,浮世繁华,2017-11-28,,车标 领取 感谢 铁甲 小白 ， 车标 已 收到 ， 大家 看下 我 的 车标 怎么样 ， 还 不错 吧 ， 你们 领 取了 没
85,http://bbs.cehome.com/thread-1150798-1-1.html,挖掘机专区,我爱我挖,早,,手机用户jimnw25,2017-11-28,,早 
86,http://bbs.cehome.com/thread-1150793-1-1.html,挖掘机专区,我爱我挖,【一起来 就现在】上班去咯,黑不溜秋的,黄忠,2017-11-28,,【 一 起来   就 现在 】 上班 去 咯 黑不溜秋 的
87,http://bbs.cehome.com/thread-1150791-1-1.html,挖掘机专区,我爱我挖,雪孚 HR31,,诛心,2017-11-28,,雪 孚  HR31 
88,http://bbs.cehome.com/thread-1150788-1-1.html,挖掘机专区,我爱我挖,上班,签到,开着挖机砸核桃,2017-11-28,,上班 签到
89,http://bbs.cehome.com/thread-1150784-1-1.html,我与工程机械,故障咨询,大5吨杭州叉车行走慢 怠速不大油门不走,这个车停用一两年了  发动机没问题就是走车慢应该怎么修,13953677742,2017-11-28,速度慢,大 5 吨 杭州 叉车 行走 慢   怠 速 不大 油门 不 走 这个 车 停用 一 两年 了    发动机 没问题 就是 走 车 慢 应该 怎么 修
90,http://bbs.cehome.com/thread-1150783-1-1.html,挖掘机专区,我爱我挖,在国外工作的甲友进来说说,请问各位甲友分享一下在国外工作的单位，职业，薪酬，环境，心声！最好能附上照片,zfk37351144,2017-11-28,,在国外 工作 的 甲 友 进来 说说 请问 各位 甲 友 分享 一下 在国外 工作 的 单位 ， 职业 ， 薪酬 ， 环境 ， 心声 ！ 最好 能 附上 照片
91,http://bbs.cehome.com/thread-1150742-1-1.html,,,,,,,, 
92,http://bbs.cehome.com/thread-1150735-1-1.html,挖掘机专区,我爱我挖,早 早 早,早起的鸟儿有虫吃，早起的虫儿被鸟吃,拳能帝,2017-11-28,,早   早   早 早起 的 鸟儿 有 虫 吃 ， 早起 的 虫儿 被 鸟 吃
93,http://bbs.cehome.com/thread-1150712-1-1.html,挖掘机专区,我爱我挖,【一起来就现在】一起来堵车,,时光-峰,2017-11-28,,【 一起 来就 现在 】 一 起来 堵车 
94,http://bbs.cehome.com/thread-1150702-1-1.html,我与工程机械,装载机,冲劲都没了,,春夏秋冬.唯我山工,2017-11-28,,冲劲 都 没了 
95,http://bbs.cehome.com/thread-1150682-1-1.html,我与工程机械,故障咨询,卡特200B旋转泵压盘有多少条弹王,卡特200B旋转泵压盘有多少条弹王求大神指点,15014463467,2017-11-28,,卡特 200B 旋转泵 压 盘 有 多少 条 弹 王 卡特 200B 旋转泵 压 盘 有 多少 条 弹 王 求 大神 指点
96,http://bbs.cehome.com/thread-1150667-1-1.html,我与工程机械,装载机,天冷了。注意保暖。,来烤火了,心中的太阳wang,2017-11-28,,天冷 了 。 注意 保暖 。 来 烤 火了
97,http://bbs.cehome.com/thread-1150662-1-1.html,挖掘机专区,我爱我挖,车标,这是什么意思？算领取了么？什么时候发？地址不用么？,情不知何起,2017-11-28,,车标 这是 什么意思 ？ 算 领 取了 么 ？ 什么时候 发 ？ 地址 不用 么 ？
